sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
jasperreports;net.sf.jasperreports.engine.export.JRHtmlExporter;1;0;1;1;7;5;64;284;3;208;7;1313;43;HetAgg
jasperreports;net.sf.jasperreports.engine.export.JRPdfExporter;1;0;1;1;7;4;72;275;4;292;6;1403;35;HetAgg
jasperreports;net.sf.jasperreports.engine.export.JRRtfExporter;1;1;1;1;9;6;43;193;3;165;6;976;35;HetAgg
jasperreports;net.sf.jasperreports.engine.export.JRTextExporter;0;1;1;1;1;3;12;87;2;62;6;371;11;HetAgg
jasperreports;net.sf.jasperreports.engine.export.JRXhtmlExporter;1;0;1;1;5;4;58;258;3;189;7;1241;42;HetAgg
jasperreports;net.sf.jasperreports.engine.export.JRXlsAbstractExporter;1;1;0;1;0;1;33;122;2;81;5;464;34;HetAgg
jasperreports;net.sf.jasperreports.engine.export.JRXlsExporter;1;1;1;1;6;4;70;225;4;220;5;994;38;HetAgg
jasperreports;net.sf.jasperreports.engine.export.JRXmlExporter;0;0;1;1;7;7;53;118;3;244;6;644;31;HetAgg
jasperreports;net.sf.jasperreports.engine.export.oasis.BorderStyle;0;1;1;0;2;0;6;17;2;18;2;87;6;HetAgg
jasperreports;net.sf.jasperreports.engine.export.oasis.JROdsExporter;0;0;1;1;1;1;29;32;4;53;4;152;8;HetAgg
jasperreports;net.sf.jasperreports.engine.export.oasis.JROdtExporter;0;0;1;1;1;1;28;30;4;51;4;156;8;HetAgg
jasperreports;net.sf.jasperreports.engine.export.oasis.JROpenDocumentExporter;1;1;1;1;1;3;47;119;2;153;5;511;34;HetAgg
jasperreports;net.sf.jasperreports.engine.export.oasis.StyleBuilder;0;0;1;1;1;1;3;10;1;14;1;91;7;HetAgg
jasperreports;net.sf.jasperreports.engine.export.ooxml.DocxCellHelper;0;1;1;0;4;0;12;31;2;18;2;100;12;HetAgg
jasperreports;net.sf.jasperreports.engine.export.ooxml.DocxStyleHelper;0;0;1;1;1;3;10;13;2;17;3;68;4;HetAgg
jasperreports;net.sf.jasperreports.engine.export.ooxml.DocxTableHelper;0;1;1;0;1;0;6;15;2;10;1;76;9;HetAgg
jasperreports;net.sf.jasperreports.engine.export.ooxml.JRDocxExporter;1;1;1;1;4;4;62;140;3;176;5;661;29;HetAgg
jasperreports;net.sf.jasperreports.engine.export.ooxml.JRPptxExporter;1;0;1;1;1;3;54;174;3;155;5;972;24;HetAgg
jasperreports;net.sf.jasperreports.engine.export.ooxml.JRXlsxExporter;1;1;1;1;3;1;61;97;4;147;5;537;32;HetAgg
jasperreports;net.sf.jasperreports.engine.export.ooxml.XlsxBorderInfo;0;0;1;1;1;1;5;14;1;17;3;76;4;HetAgg
jasperreports;net.sf.jasperreports.engine.export.ooxml.XlsxStyleHelper;0;0;1;1;1;1;8;11;2;12;3;70;4;HetAgg
jasperreports;net.sf.jasperreports.engine.export.xmlss.JRXmlssExporter;1;0;1;1;1;6;36;140;2;118;6;596;25;HetAgg
jasperreports;net.sf.jasperreports.engine.export.xmlss.XmlssContentBuilder;0;0;1;1;1;1;0;2;1;4;0;39;2;HetAgg
jasperreports;net.sf.jasperreports.engine.export.xmlss.XmlssStyleBuilder;0;0;1;1;1;1;3;10;1;14;1;91;7;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.DefaultChartTheme;1;0;1;0;2;0;99;240;1;367;4;936;40;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRBaseFiller;1;0;1;0;4;0;65;256;1;241;4;1059;99;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRCalculator;0;0;1;1;8;1;14;90;1;41;5;313;17;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillBand;1;0;1;0;2;0;23;77;3;68;4;223;39;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillBreak;0;1;1;0;1;0;13;27;2;18;2;86;16;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillCellContents;1;1;0;0;0;0;38;102;3;91;3;411;48;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillChart;1;0;1;0;2;0;108;264;2;225;2;841;147;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillComponentElement;0;1;1;0;1;0;24;40;2;40;1;116;24;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillCrosstab;1;0;1;0;6;0;68;111;3;168;5;1277;52;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillDataset;1;0;1;0;2;0;48;153;1;139;4;572;65;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillElement;1;0;1;0;1;0;42;203;1;153;4;691;119;HetAgg
