sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
libgdx;com.badlogic.gdx.backends.lwjgl.audio.OggInputStream;1;0;0;1;0;1;16;72;2;28;10;0.0;278;15;HetAgg
libgdx;com.badlogic.gdx.backends.lwjgl.LwjglApplication;1;0;1;1;1;1;34;87;1;75;4;0.0;309;40;HetAgg
libgdx;com.badlogic.gdx.backends.lwjgl.LwjglCanvas;1;0;1;1;1;2;32;68;1;51;3;0.0;354;47;HetAgg
libgdx;com.badlogic.gdx.backends.lwjgl.LwjglGraphics;1;0;0;1;0;1;27;144;4;81;6;0.0;534;66;HetAgg
libgdx;com.badlogic.gdx.backends.lwjgl3.Lwjgl3Application;1;0;0;1;0;2;43;104;1;102;4;0.0;399;41;HetAgg
libgdx;com.badlogic.gdx.physics.box2d.Box2DDebugRenderer;1;0;1;1;2;1;21;63;1;64;4;0.0;274;28;HetAgg
libgdx;com.badlogic.gdx.physics.bullet.collision.btTriangleIndexVertexArray;0;1;1;0;2;0;12;54;3;42;3;0.0;159;36;HetAgg
libgdx;com.badlogic.gdx.physics.bullet.dynamics.btDantzigSolver;0;1;1;0;1;0;7;14;3;13;2;0.0;41;9;HetAgg
libgdx;com.badlogic.gdx.physics.bullet.dynamics.btLemkeSolver;0;1;1;0;1;0;7;22;3;21;2;0.0;65;17;HetAgg
libgdx;com.badlogic.gdx.physics.bullet.dynamics.btSolveProjectedGaussSeidel;0;1;1;0;1;0;7;18;3;17;2;0.0;53;13;HetAgg
libgdx;com.badlogic.gdx.tiledmappacker.TiledMapPacker;0;0;1;1;1;2;38;69;1;83;7;0.0;377;17;HetAgg
libgdx;com.badlogic.gdx.tools.hiero.unicodefont.UnicodeFont;1;0;1;0;1;0;28;137;1;105;4;0.0;473;58;HetAgg
libgdx;com.badlogic.gdx.tools.texturepacker.TexturePacker;1;0;1;0;2;0;27;161;1;88;6;0.0;793;28;HetAgg
libgdx;com.badlogic.gdx.assets.AssetManager;0;0;1;1;1;1;57;176;1;113;6;0.0;487;52;HetAgg
libgdx;com.badlogic.gdx.graphics.Colors;0;0;1;1;1;1;3;6;1;4;0;0.0;54;5;HetAgg
libgdx;com.badlogic.gdx.graphics.Cubemap;0;1;1;0;1;0;19;40;2;41;3;0.0;158;21;HetAgg
libgdx;com.badlogic.gdx.graphics.g2d.NinePatch;1;0;1;0;2;0;9;123;1;25;2;0.0;368;42;HetAgg
libgdx;com.badlogic.gdx.graphics.g2d.ParticleEmitter;1;0;1;0;2;0;21;271;12;103;4;0.0;1401;92;HetAgg
libgdx;com.badlogic.gdx.graphics.g2d.PolygonSprite;1;0;1;0;1;0;8;55;1;20;1;0.0;227;36;HetAgg
libgdx;com.badlogic.gdx.graphics.g2d.PolygonSpriteBatch;1;0;1;0;1;0;19;156;1;38;2;0.0;971;47;HetAgg
libgdx;com.badlogic.gdx.graphics.g2d.RepeatablePolygonSprite;0;0;1;1;1;1;13;30;1;29;3;0.0;133;8;HetAgg
libgdx;com.badlogic.gdx.graphics.g2d.SpriteBatch;1;0;1;0;1;0;18;120;1;43;3;0.0;780;43;HetAgg
